Unnamed: 0,English,Portuguese
0,part,papel
1,history,história
2,search,procurar
3,only,só
4,police,polícia
5,thought,pensamento
6,help,ajuda
7,request,solicitação
8,kind,Gentil
9,month,mês
10,brother,irmão
11,let,deixar
12,because,Porque
13,to put,colocar
14,no,não
15,leash,coleira
16,them,eles
17,city,cidade
18,each,cada
19,speak,falar
20,come,venha
21,should,deve
22,baby,bebê
23,long time,muito tempo
24,hours,horas
25,will,vontade
26,while,enquanto
27,meet again,encontrar de novo
28,any,algum
29,square,quadrado
30,speak,falar
31,understood,Entendido
32,knew,sabia
33,were,estavam
34,Warning,Aviso
35,here is,aqui está
36,could,poderia
37,case,caso
38,give,dar
39,type,tipo
40,their,seus
41,given,dado
42,train,Comboio
44,place,"Lugar, colocar"
45,eyes,olhos
46,way,maneira
47,listen,ouço
48,whose,de quem
49,find,encontrar
50,first,primeiro
51,lost,perdido
52,hand,mão
53,first,primeiro
54,side,lateral
55,power,potência
56,old,velho
57,be,ser
58,here,aqui
59,morning,manhã
60,so much,tanto
61,child,criança
62,point,apontar
63,came,veio
64,after,depois
65,sorry,desculpe
66,come,venha
67,in front of,em frente
68,towards,em direção
69,minutes,minutos
70,request,solicitação
71,bedroom,quarto
72,placed,colocada
73,beautiful,bonito
74,law,lei
75,would like to,gostaria de
76,finally,finalmente
77,hope,esperança
78,water,agua
79,Wait,Esperar
80,left,deixou
81,new,novo
82,job,trabalho
83,Stop,Pare
84,would say,diria
85,Earth,Terra
86,account,conta
87,given,dado
88,far,distante
90,believe,acreditam
91,sweetheart,amor
92,large,ampla
93,rather,em vez
94,will have,terá
95,girls,garotas
96,to play,jogar
97,office,escritório
